card_id,set_code,number,name,stage,evolves_from,hp,type,weakness_type,weakness_value,resistance_type,resistance_value,retreat_cost,rarity,dex_number,power_type,power_name,power_text,attack1_name,attack1_cost,attack1_damage,attack1_text,attack2_name,attack2_cost,attack2_damage,attack2_text,attack3_name,attack3_cost,attack3_damage,attack3_text,artist,flavor_text
base1-1,base1,1,Alakazam,Stage 2,Kadabra,80,P,P,x2,,,3,Rare Holo,65,Pokémon Power,Damage Swap,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.",Confuse Ray,PPP,30,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,,,,,,,,Ken Sugimori,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.
base1-2,base1,2,Blastoise,Stage 2,Wartortle,100,W,L,x2,,,3,Rare Holo,9,Pokémon Power,Rain Dance,"As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.",Hydro Pump,WWW,40+,Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,,,,,,,,,Ken Sugimori,A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.
base1-3,base1,3,Chansey,Basic,,120,C,F,x2,P,-30,1,Rare Holo,113,,,,Scrunch,CC,,"Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)",Double-edge,CCCC,80,Chansey does 80 damage to itself.,,,,,Ken Sugimori,A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.
base1-4,base1,4,Charizard,Stage 2,Charmeleon,120,R,W,x2,F,-30,3,Rare Holo,6,Pokémon Power,Energy Burn,"As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.",Fire Spin,RRRR,100,Discard 2 Energy cards attached to Charizard in order to use this attack.,,,,,,,,,Mitsuhiro Arita,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.
base1-5,base1,5,Clefairy,Basic,,40,C,F,x2,P,-30,1,Rare Holo,35,,,,Sing,C,,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",Metronome,CCC,,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)",,,,,Ken Sugimori,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
base1-6,base1,6,Gyarados,Stage 1,Magikarp,100,W,G,x2,F,-30,3,Rare Holo,130,,,,Dragon Rage,WWW,50,,Bubblebeam,WWWW,40,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",,,,,Mitsuhiro Arita,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
base1-7,base1,7,Hitmonchan,Basic,,70,F,P,x2,,,2,Rare Holo,107,,,,Jab,F,20,,Special Punch,FFC,40,,,,,,Ken Sugimori,"While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see."
base1-8,base1,8,Machamp,Stage 2,Machoke,100,F,P,x2,,,3,Rare Holo,68,Pokémon Power,Strikes Back,"Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.",Seismic Toss,FFFC,60,,,,,,,,,,Ken Sugimori,"Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon."
base1-9,base1,9,Magneton,Stage 1,Magnemite,60,L,F,x2,,,1,Rare Holo,82,,,,Thunder Wave,LLC,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Selfdestruct,LLCC,80,Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.,,,,,Keiji Kinebuchi,Formed by several Magnemites linked together. It frequently appears when sunspots flare up.
base1-10,base1,10,Mewtwo,Basic,,60,P,P,x2,,,3,Rare Holo,150,,,,Psychic,PC,10+,Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,Barrier,PP,,"Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.",,,,,Ken Sugimori,A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.
base1-11,base1,11,Nidoking,Stage 2,Nidorino,90,G,P,x2,,,3,Rare Holo,34,,,,Thrash,GCC,30+,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.",Toxic,GGG,20,The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).,,,,,Ken Sugimori,"Uses its powerful tail in battle to smash, constrict, then break its prey's bones."
base1-12,base1,12,Ninetales,Stage 1,Vulpix,80,R,W,x2,,,1,Rare Holo,38,,,,Lure,CC,,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.",Fire Blast,RRRR,80,Discard 1 Fire Energy card attached to Ninetales in order to use this attack.,,,,,Ken Sugimori,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
