card_id,set_code,number,name,subtype,text,rarity,artist
base1-70,base1,70,Clefairy Doll,Trainer,"Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts as a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knocked Out Pokémon. At any time during your turn before your attack, you may discard Clefairy Doll.",Rare,Keiji Kinebuchi
base1-71,base1,71,Computer Search,Trainer,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,Rare,Keiji Kinebuchi
base1-72,base1,72,Devolution Spray,Trainer,"Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",Rare,Keiji Kinebuchi
base1-73,base1,73,Impostor Professor Oak,Trainer,"Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.",Rare,Ken Sugimori
base1-74,base1,74,Item Finder,Trainer,Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.,Rare,Keiji Kinebuchi
base1-75,base1,75,Lass,Trainer,"You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.",Rare,Ken Sugimori
base1-76,base1,76,Pokémon Breeder,Trainer,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.,Rare,Ken Sugimori
base1-77,base1,77,Pokémon Trader,Trainer,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,Rare,Ken Sugimori
base1-78,base1,78,Scoop Up,Trainer,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),Rare,Keiji Kinebuchi
base1-79,base1,79,Super Energy Removal,Trainer,Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponent's Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.,Rare,Keiji Kinebuchi
base1-80,base1,80,Defender,Trainer,"Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).",Uncommon,Keiji Kinebuchi
base1-81,base1,81,Energy Retrieval,Trainer,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,Uncommon,Keiji Kinebuchi
base1-82,base1,82,Full Heal,Trainer,"Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.",Uncommon,Keiji Kinebuchi
base1-83,base1,83,Maintenance,Trainer,Shuffle 2 of the other cards from your hand into your deck in order to draw a card.,Uncommon,Keiji Kinebuchi
base1-84,base1,84,PlusPower,Trainer,"Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon's attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.",Uncommon,Keiji Kinebuchi
